Player,Salary,Salary adjusted by inflation,Season
Clint Capela,1296240,1386480,2016/17
Jarell Martin,1286160,1375698,2016/17
Brice Johnson,1273920,1362606,2016/17
Jeremy Evans,1227286,1312726,2016/17
Luke Babbitt,1227286,1312726,2016/17
Jordan Mickey,1223653,1308840,2016/17
CJ Wilcox,1209600,1293808,2016/17
Larry Nance Jr,1207680,1291755,2016/17
Terrence Jones,1207194,1291234,2016/17
Pascal Siakam,1196040,1279304,2016/17
Kyle Anderson,1192080,1275069,2016/17
Josh Huestis,1191480,1274427,2016/17
Chris McCullough,1191480,1274427,2016/17
Skal Labissiere,1188840,1271603,2016/17
Livio Jean-Charles,1188840,1271603,2016/17
Kevon Looney,1182840,1265186,2016/17
Dejounte Murray,1180080,1262233,2016/17
Damian Jones,1171560,1253120,2016/17
Hollis Thompson,1131040,1209778,2016/17
Isaiah Whitehead,1074145,1148923,2016/17
Joseph Young,1052342,1125603,2016/17
Rakeem Christmas,1052342,1125603,2016/17
Brian Roberts,1050961,1124125,2016/17
Pablo Prigioni,1050961,1124125,2016/17
Thomas Robinson,1050961,1124125,2016/17
John Jenkins,1050961,1124125,2016/17
Glenn Robinson III,1050500,1123632,2016/17
Montrezl Harrell,1045000,1117749,2016/17
Ivica Zubac,1034865,1106909,2016/17
Richaun Holmes,1024000,1095288,2016/17
Anthony Brown,1023838,1095113,2016/17
Mike Muscala,1015696,1086405,2016/17
Anthony Bennett,1015696,1086405,2016/17
Isaiah Canaan,1015696,1086405,2016/17
Ian Clark,1015696,1086405,2016/17
Justin Holiday,1015696,1086405,2016/17
Robert Covington,1015696,1086405,2016/17
Jeff Withey,1015696,1086405,2016/17
DeAndre Liggins,1015695,1086404,2016/17
Walter Tavares,1006000,1076034,2016/17
Joe Harris,980431,1048685,2016/17
Sean Kilpatrick,980431,1048685,2016/17
Nick Johnson,980431,1048685,2016/17
Beno Udrih,980431,1048685,2016/17
James Michael McAdoo,980431,1048685,2016/17
JaMychal Green,980431,1048685,2016/17
Louis Amundson,980431,1048685,2016/17
Jerami Grant,980431,1048685,2016/17
Damjan Rudez,980431,1048685,2016/17
Elton Brand,980000,1048224,2016/17
Axel Toupane,977534,1045585,2016/17
Stephen Zimmerman,950000,1016136,2016/17
Andrew Harrison,945000,1010788,2016/17
Bobby Brown,940070,1005515,2016/17
Tyler Ulis,918369,982303,2016/17
Jason Thompson,893333,955524,2016/17
Raul Neto,877800,938909,2016/17
Malcolm Brogdon,875000,935915,2016/17
Christian Wood,874636,935525,2016/17
Cristiano Felicio,874636,935525,2016/17
Jordan McRae,874636,935525,2016/17
Salah Mejri,874636,935525,2016/17
Darrun Hilliard,874636,935525,2016/17
Josh Richardson,874636,935525,2016/17
TJ McConnell,874636,935525,2016/17
Alan Williams,874636,935525,2016/17
Pat Connaughton,874636,935525,2016/17
Jonathon Simmons,874636,935525,2016/17
Norman Powell,874636,935525,2016/17
Paul Zipser,750000,802212,2016/17
Spencer Dinwiddie,726672,777260,2016/17
Ryan Kelly,713305,762963,2016/17
Jonathan Gibson,671346,718083,2016/17
Joel Anthony,663810,710022,2016/17
Troy Williams,652165,697565,2016/17
AJ Hammons,650000,695251,2016/17
Michael Gbinije,650000,695251,2016/17
Georges Niang,650000,695251,2016/17
Briante Weber,623447,666848,2016/17
Donatas Motiejunas,607491,649782,2016/17
Jake Layman,600000,641770,2016/17
Joel Bolomboy,600000,641770,2016/17
John Lucas,580344,620745,2016/17
Gary Payton II,578636,618918,2016/17
Toney Douglas,564868,604192,2016/17
Treveon Graham,543471,581305,2016/17
Kay Felder,543471,581305,2016/17
Nicolas Brussino,543471,581305,2016/17
Dorian Finney-Smith,543471,581305,2016/17
Patrick McCaw,543471,581305,2016/17
Kyle Wiltjer,543471,581305,2016/17
Chinanu Onuaku,543471,581305,2016/17
Diamond Stone,543471,581305,2016/17
Rodney McGruder,543471,581305,2016/17
Cheick Diallo,543471,581305,2016/17
Ron Baker,543471,581305,2016/17
Marshall Plumlee,543471,581305,2016/17
Maurice Ndour,543471,581305,2016/17
Semaj Christon,543471,581305,2016/17
Derrick Jones,543471,581305,2016/17
Tim Quarterman,543471,581305,2016/17
Davis Bertans,543471,581305,2016/17
Bryn Forbes,543471,581305,2016/17
Fred VanVleet,543471,581305,2016/17
Daniel Ochefu,543471,581305,2016/17
Sheldon Mac,543471,581305,2016/17
Danuel House,543471,581305,2016/17
Chasson Randle,541170,578843,2016/17
Arinze Onuaku,426775,456485,2016/17
Yogi Ferrell,409300,437793,2016/17
Johnny O'Bryant,392169,419469,2016/17
Aaron Harrison,365289,390719,2016/17
Okaro White,310995,332645,2016/17
Isaiah Taylor,305000,326233,2016/17
Norris Cole,288131,308189,2016/17
Ben Bentil,281968,301597,2016/17
Jarell Eddie,277898,297244,2016/17
Elliot Williams,250000,267404,2016/17
Yi Jianlian,250000,267404,2016/17
Lamar Patterson,242963,259877,2016/17
Jordan Crawford,234920,251274,2016/17
Nicolas Laprovittola,204601,218844,2016/17
Reggie Williams,193307,206764,2016/17
Pierre Jackson,191810,205162,2016/17
Brandon Paul,155000,165790,2016/17
Shawn Long,154512,165268,2016/17
Robbie Hummel,150000,160442,2016/17
Jarnell Stokes,150000,160442,2016/17
Mike Tobey,138937,148609,2016/17
Patricio Garino,131968,141154,2016/17
Jarrod Uthoff,129920,138963,2016/17
Marcus Paige,125000,133702,2016/17
Ray McCallum,119493,127811,2016/17
Manny Harris,119493,127811,2016/17
Wayne Selden,115087,123098,2016/17
Egidijus Mockevicius,100000,106961,2016/17
Stefan Jankovic,100000,106961,2016/17
JP Tokoto,100000,106961,2016/17
Isaiah Cousins,100000,106961,2016/17
Quinn Cook,95904,102580,2016/17
Marcus Georges-Hunt,88936,95126,2016/17
Jordan Farmar,82976,88752,2016/17
Prince Ibeh,77250,82627,2016/17
Keith Benson,75000,80221,2016/17
Kaleb Tarczewski,75000,80221,2016/17
Ryan Arcidiacono,75000,80221,2016/17
Henry Sims,75000,80221,2016/17
Quincy Ford,75000,80221,2016/17
Alex Poythress,73743,78876,2016/17
David Nwaba,73528,78646,2016/17
Gary Neal,72193,77218,2016/17
Kyle Collinsworth,70000,74873,2016/17
Thomas Walkup,69500,74338,2016/17
James Webb,65000,69525,2016/17
Zach Auguste,60000,64177,2016/17
Brady Heslip,56500,60433,2016/17
Matt Costello,50000,53480,2016/17
Damion Lee,50000,53480,2016/17
Nate Wolters,50000,53480,2016/17
DJ Kennedy,50000,53480,2016/17
Scott Wood,50000,53480,2016/17
Elgin Cook,50000,53480,2016/17
Julyan Stone,50000,53480,2016/17
Alex Caruso,50000,53480,2016/17
Anthony Barber,50000,53480,2016/17
Dionte Christmas,50000,53480,2016/17
EJ Singler,50000,53480,2016/17
Beau Beech,45000,48132,2016/17
Phil Pressey,35000,37436,2016/17
Nikola Jovanovic,30000,32088,2016/17
Jalen Jones,25000,26740,2016/17
Nick Zeisloft,25000,26740,2016/17
Tony Wroten,25000,26740,2016/17
Dahntay Jones,24022,25694,2016/17
Kobe Bryant,25000000,27007119,2015/16
LeBron James,22970500,24814681,2015/16
Carmelo Anthony,22875000,24711514,2015/16
Dwight Howard,22359364,24154480,2015/16
Joe Johnson,22309344,24100444,2015/16
Chris Bosh,22192730,23974468,2015/16
Kevin Durant,21971850,23735855,2015/16
Chris Paul,21468695,23192304,2015/16
Derrick Rose,20093064,21706231,2015/16
Dwyane Wade,20000000,21605695,2015/16
Brook Lopez,19689000,21269727,2015/16
Kevin Love,19689000,21269727,2015/16
DeAndre Jordan,19689000,21269727,2015/16
Marc Gasol,19689000,21269727,2015/16
LaMarcus Aldridge,19689000,21269727,2015/16
Blake Griffin,18862876,20377277,2015/16
Paul Millsap,18671659,20170709,2015/16
David Lee,17120776,18495313,2015/16
Paul George,16900000,18256812,2015/16
Russell Westbrook,16744218,18088523,2015/16
Jimmy Butler,16407500,17724772,2015/16
Kyrie Irving,16407500,17724772,2015/16
Wesley Matthews,16407500,17724772,2015/16
Greg Monroe,16407500,17724772,2015/16
Enes Kanter,16407500,17724772,2015/16
Kawhi Leonard,16407500,17724772,2015/16
Tobias Harris,16000000,17284556,2015/16
James Harden,15719062,16981063,2015/16
Roy Hibbert,15514031,16759571,2015/16
Eric Gordon,15514031,16759571,2015/16
Klay Thompson,15501000,16745494,2015/16
Gordon Hayward,15409570,16646723,2015/16
Chandler Parsons,15361500,16594794,2015/16
Goran Dragic,14783000,15969849,2015/16
DeMarcus Cousins,14728844,15911346,2015/16
John Wall,14728844,15911346,2015/16
Khris Middleton,14700000,15880186,2015/16
Draymond Green,14260870,15405800,2015/16
Tristan Thompson,14260000,15404861,2015/16
Danilo Gallinari,14000000,15123986,2015/16
Reggie Jackson,13913044,15030049,2015/16
DeMarre Carroll,13600000,14691873,2015/16
Al Jefferson,13500000,14583844,2015/16
Eric Bledsoe,13500000,14583844,2015/16
Brandon Knight,13500000,14583844,2015/16
Tony Parker,13437500,14516326,2015/16
Joakim Noah,13400000,14475816,2015/16
JaVale McGee,13270964,14336420,2015/16
Tyson Chandler,13000000,14043702,2015/16
Nenê,13000000,14043702,2015/16
Ricky Rubio,12700000,13719616,2015/16
Robin Lopez,12650000,13665602,2015/16
Ty Lawson,12444552,13443660,2015/16
Rudy Gay,12403101,13398881,2015/16
Serge Ibaka,12250000,13233488,2015/16
Nikola Pekovic,12100000,13071445,2015/16
Al Horford,12000000,12963417,2015/16
Amir Johnson,12000000,12963417,2015/16
Kemba Walker,12000000,12963417,2015/16
Andrew Bogut,12000000,12963417,2015/16
Kyle Lowry,12000000,12963417,2015/16
Derrick Favors,12000000,12963417,2015/16
Nicolas Batum,11860750,12812987,2015/16
Andre Iguodala,11710456,12650627,2015/16
Stephen Curry,11370786,12283687,2015/16
Nikola Vucevic,11250000,12153203,2015/16
Thaddeus Young,11235955,12138031,2015/16
Kenneth Faried,11235955,12138031,2015/16
Marcin Gortat,11217391,12117976,2015/16
Jrue Holiday,11000000,11883132,2015/16
Deron Williams,10853761,11725152,2015/16
Tyreke Evans,10734586,11596409,2015/16
Wilson Chandler,10449438,11288368,2015/16
Monta Ellis,10300000,11126933,2015/16
Anderson Varejao,10158574,10974152,2015/16
Luol Deng,10151612,10966631,2015/16
Gerald Wallace,10105855,10917201,2015/16
Zach Randolph,10000000,10802847,2015/16
Danny Green,10000000,10802847,2015/16
Mike Conley,9680000,10457156,2015/16
Rajon Rondo,9500000,10262705,2015/16
DeMar DeRozan,9500000,10262705,2015/16
Alec Burks,9213484,9953186,2015/16
Omer Asik,9213483,9953185,2015/16
Jeff Green,9200000,9938620,2015/16
Lance Stephenson,9000000,9722563,2015/16
Iman Shumpert,8988765,9710426,2015/16
Tiago Splitter,8500000,9182420,2015/16
Taj Gibson,8500000,9182420,2015/16
Kevin Garnett,8500000,9182420,2015/16
Ryan Anderson,8500000,9182420,2015/16
Brandon Jennings,8344497,9014433,2015/16
Dirk Nowitzki,8333333,9002372,2015/16
Corey Brewer,8229375,8890068,2015/16
Trevor Ariza,8200000,8858335,2015/16
Channing Frye,8193029,8850804,2015/16
Al-Farouq Aminu,8042895,8688617,2015/16
Jeff Teague,8000000,8642278,2015/16
George Hill,8000000,8642278,2015/16
OJ Mayo,8000000,8642278,2015/16
Arron Afflalo,8000000,8642278,2015/16
Markieff Morris,8000000,8642278,2015/16
Ersan Ilyasova,7900000,8534249,2015/16
Avery Bradley,7730337,8350965,2015/16
Kosta Koufos,7700000,8318192,2015/16
Boris Diaw,7500000,8102135,2015/16
Pau Gasol,7448760,8046782,2015/16
Jose Calderon,7402812,7997145,2015/16
Kevin Martin,7402474,7996779,2015/16
JJ Redick,7085000,7653817,2015/16
Anthony Davis,7070730,7638402,2015/16
Marvin Williams,7000000,7561993,2015/16
Rodney Stuckey,7000000,7561993,2015/16
Louis Williams,7000000,7561993,2015/16
Cory Joseph,7000000,7561993,2015/16
Ed Davis,6980802,7541254,2015/16
Isaiah Thomas,6912869,7467867,2015/16
Josh Smith,6830916,7379333,2015/16
Jae Crowder,6796117,7341741,2015/16
Jason Thompson,6752729,7294869,2015/16
Carl Landry,6750000,7291922,2015/16
Greivis Vasquez,6600000,7129879,2015/16
Aron Baynes,6500000,7021851,2015/16
Patrick Beverley,6486486,7007252,2015/16
Michael Kidd-Gilchrist,6331403,6839718,2015/16
Jarrett Jack,6300000,6805794,2015/16
Jodie Meeks,6270000,6773385,2015/16
Patrick Patterson,6268675,6771954,2015/16
Marco Belinelli,6060606,6547180,2015/16
Gerald Henderson,6000000,6481708,2015/16
Andrew Wiggins,5758680,6221014,2015/16
Kyle Korver,5746479,6207833,2015/16
Martell Webster,5713500,6172207,2015/16
Karl-Anthony Towns,5703600,6161512,2015/16
Bradley Beal,5694673,6151868,2015/16
Courtney Lee,5675000,6130616,2015/16
Jamal Crawford,5675000,6130616,2015/16
JJ Hickson,5583413,6031675,2015/16
Spencer Hawes,5543725,5988801,2015/16
Nikola Mirotic,5543725,5988801,2015/16
Shaun Livingston,5543725,5988801,2015/16
Josh McRoberts,5543725,5988801,2015/16
Mirza Teletovic,5500000,5941566,2015/16
PJ Tucker,5500000,5941566,2015/16
Brandan Wright,5464000,5902676,2015/16
Chase Budinger,5258082,5680225,2015/16
Tim Duncan,5250000,5671495,2015/16
Nick Young,5219169,5638188,2015/16
Zaza Pachulia,5200000,5617480,2015/16
Victor Oladipo,5192520,5609400,2015/16
Jabari Parker,5152440,5566102,2015/16
Dion Waiters,5138430,5550967,2015/16
D'Angelo Russell,5103120,5512822,2015/16
Darren Collison,5013559,5416071,2015/16
Jonas Jerebko,5000000,5401423,2015/16
JR Smith,5000000,5401423,2015/16
Marcus Morris,5000000,5401423,2015/16
Chris Andersen,5000000,5401423,2015/16
Tony Allen,5000000,5401423,2015/16
Larry Sanders,5000000,5401423,2015/16
CJ Watson,5000000,5401423,2015/16
Chris Kaman,5000000,5401423,2015/16
Timofey Mozgov,4950000,5347409,2015/16
Mike Dunleavy,4837500,5225877,2015/16
Trevor Booker,4775000,5158359,2015/16
Otto Porter,4662960,5037324,2015/16
Jonas Valanciunas,4660482,5034647,2015/16
Joel Embiid,4626960,4998434,2015/16
Anthony Bennett,4597276,4966366,2015/16
Jahlil Okafor,4582680,4950599,2015/16
Raymond Felton,4540000,4904492,2015/16
Alexis Ajinca,4539607,4904068,2015/16
Kyle Singler,4500000,4861281,2015/16
Kris Humphries,4440000,4796463,2015/16
Derrick Williams,4400000,4753253,2015/16
CJ Miles,4394225,4747014,2015/16
Mike Miller,4354127,4703696,2015/16
Jameer Nelson,4345000,4693837,2015/16
Mario Chalmers,4300000,4645224,2015/16
Jason Smith,4300000,4645224,2015/16
Jose Juan Barea,4290000,4634421,2015/16
Jared Dudley,4250000,4591210,2015/16
Damian Lillard,4236286,4576395,2015/16
Cody Zeller,4204200,4541733,2015/16
Aaron Gordon,4171680,4506602,2015/16
Kristaps Porzingis,4131720,4463434,2015/16
Vince Carter,4088019,4416224,2015/16
Devin Harris,4053446,4378876,2015/16
Thabo Sefolosha,4000000,4321139,2015/16
Ian Mahinmi,4000000,4321139,2015/16
Jordan Hill,4000000,4321139,2015/16
Alan Anderson,4000000,4321139,2015/16
Nemanja Bjelica,3950000,4267124,2015/16
Harrison Barnes,3873398,4184372,2015/16
Marreese Speights,3815500,4121826,2015/16
Alex Len,3807120,4112773,2015/16
Dante Exum,3777720,4081013,2015/16
Steve Novak,3758017,4059728,2015/16
Kyle O'Quinn,3750000,4051067,2015/16
Nick Collison,3750000,4051067,2015/16
Mario Hezonja,3741480,4041863,2015/16
Terrence Ross,3553917,3839242,2015/16
Lavoy Allen,3550000,3835010,2015/16
Matt Barnes,3542500,3826908,2015/16
Will Barton,3533333,3817005,2015/16
Nerlens Noel,3457800,3735408,2015/16
Marcus Smart,3431040,3706500,2015/16
Evan Turner,3425510,3700526,2015/16
Bojan Bogdanovic,3425510,3700526,2015/16
Willie Cauley-Stein,3398280,3671110,2015/16
Quincy Pondexter,3382023,3653547,2015/16
Paul Pierce,3376000,3647041,2015/16
Anthony Morrow,3344000,3612472,2015/16
Mike Scott,3333333,3600948,2015/16
Drew Gooden,3300000,3564939,2015/16
Andre Drummond,3272090,3534789,2015/16
Norris Cole,3203780,3460994,2015/16
Patrick Mills,3200000,3456911,2015/16
KJ McDaniels,3189794,3445885,2015/16
Ben McLemore,3156600,3410026,2015/16
Randy Foye,3135000,3386692,2015/16
Julius Randle,3132240,3383711,2015/16
Austin Rivers,3110796,3360545,2015/16
Emmanuel Mudiay,3102240,3351302,2015/16
Meyers Leonard,3075879,3322825,2015/16
Jeremy Lamb,3034356,3277968,2015/16
DJ Augustin,3000000,3240854,2015/16
Anthony Tolliver,3000000,3240854,2015/16
Brandon Bass,3000000,3240854,2015/16
Jerryd Bayless,3000000,3240854,2015/16
Toney Douglas,2971568,3210138,2015/16
John Henson,2943220,3179515,2015/16
Luis Scola,2900000,3132825,2015/16
Moe Harkless,2894058,3126406,2015/16
Kentavious Caldwell-Pope,2891760,3123924,2015/16
Kirk Hinrich,2870000,3100417,2015/16
Nik Stauskas,2869440,3099812,2015/16
Udonis Haslem,2854940,3084148,2015/16
Brian Roberts,2854940,3084148,2015/16
Dante Cunningham,2850000,3078811,2015/16
Stanley Johnson,2841960,3070126,2015/16
Omri Casspi,2836186,3063888,2015/16
Darrell Arthur,2814000,3039921,2015/16
Kevin Seraphin,2814000,3039921,2015/16
Sonny Weems,2814000,3039921,2015/16
Manu Ginobili,2814000,3039921,2015/16
Bismack Biyombo,2814000,3039921,2015/16
Tibor Pleiss,2700000,2916768,2015/16
Furkan Aldemir,2683841,2899312,2015/16
Trey Burke,2658240,2871656,2015/16
Noah Vonleh,2637720,2849488,2015/16
Tyler Zeller,2616975,2827078,2015/16
Frank Kaminsky,2612520,2822265,2015/16
CJ McCollum,2525160,2727891,2015/16
Elfrid Payton,2505720,2706891,2015/16
Joel Anthony,2500000,2700711,2015/16
Leandro Barbosa,2500000,2700711,2015/16
James Johnson,2500000,2700711,2015/16
Terrence Jones,2489529,2689400,2015/16
Justise Winslow,2481720,2680964,2015/16
Shelvin Mack,2433333,2628692,2015/16
Michael Carter-Williams,2399040,2591646,2015/16
Andrew Nicholson,2380593,2571718,2015/16
Doug McDermott,2380440,2571553,2015/16
Tony Wroten,2346760,2535168,2015/16
Jordan Farmar,2291455,2475423,2015/16
Evan Fournier,2288204,2471911,2015/16
Steven Adams,2279040,2462012,2015/16
Myles Turner,2277960,2460845,2015/16
Jared Sullinger,2269260,2451447,2015/16
Aaron Brooks,2250000,2430640,2015/16
Trey Lyles,2239800,2419621,2015/16
Ramon Sessions,2170465,2344720,2015/16
Kelly Olynyk,2165160,2338989,2015/16
Zach LaVine,2148360,2320840,2015/16
Kendall Marshall,2144772,2316964,2015/16
Jeremy Lin,2139000,2310729,2015/16
Gary Neal,2139000,2310729,2015/16
Miles Plumlee,2109293,2278637,2015/16
Maurice Williams,2100000,2268598,2015/16
Danny Granger,2100000,2268598,2015/16
Steve Blake,2100000,2268598,2015/16
Joe Ingles,2100000,2268598,2015/16
Beno Udrih,2080465,2247494,2015/16
Shabazz Muhammad,2056920,2222059,2015/16
Devin Booker,2055840,2220892,2015/16
TJ Warren,2041080,2204947,2015/16
Perry Jones,2038206,2201842,2015/16
Cameron Payne,2021520,2183817,2015/16
Festus Ezeli,2008748,2170019,2015/16
Kent Bazemore,2000000,2160569,2015/16
DeJuan Blair,2000000,2160569,2015/16
Giannis Antetokounmpo,1953960,2110833,2015/16
Adreian Payne,1938840,2094499,2015/16
Kelly Oubre,1920240,2074406,2015/16
Jusuf Nurkic,1842000,1989884,2015/16
Lucas Nogueira,1842000,1989884,2015/16
Terry Rozier,1824360,1970828,2015/16
Dennis Schroeder,1763400,1904974,2015/16
Zoran Dragic,1756500,1897520,2015/16
James Young,1749840,1890325,2015/16
Rashad Vaughn,1733040,1872176,2015/16
Ryan Kelly,1724250,1862681,2015/16
Joffrey Lauvergne,1709719,1846983,2015/16
Louis Amundson,1700000,1836484,2015/16
Tyler Ennis,1662360,1795822,2015/16
Sam Dekker,1646400,1778580,2015/16
Lance Thomas,1636842,1768255,2015/16
Sergey Karasev,1599840,1728282,2015/16
Gary Harris,1587480,1714930,2015/16
Jerian Grant,1572360,1698596,2015/16
Tony Snell,1535880,1659187,2015/16
Bruno Caboclo,1524000,1646354,2015/16
Delon Wright,1509360,1630538,2015/16
Shane Larkin,1500000,1620427,2015/16
Wayne Ellington,1500000,1620427,2015/16
James Jones,1499187,1619548,2015/16
Richard Jefferson,1499187,1619548,2015/16
Charlie Villanueva,1499187,1619548,2015/16
Samuel Dalembert,1499187,1619548,2015/16
Jason Terry,1499187,1619548,2015/16
Metta World Peace,1499187,1619548,2015/16
Amare Stoudemire,1499187,1619548,2015/16
Tayshaun Prince,1499187,1619548,2015/16
Kendrick Perkins,1499187,1619548,2015/16
Ronnie Price,1499187,1619548,2015/16
Caron Butler,1499187,1619548,2015/16
Rasual Butler,1499187,1619548,2015/16
Matt Bonner,1499187,1619548,2015/16
David West,1499187,1619548,2015/16
Andre Miller,1490369,1610022,2015/16
Gorgui Dieng,1474440,1592815,2015/16
Mitch McGary,1463040,1580499,2015/16
Justin Anderson,1449000,1565332,2015/16
Marcus Thornton,1436891,1552251,2015/16
Pablo Prigioni,1421348,1535460,2015/16
Mason Plumlee,1415520,1529164,2015/16
Jordan Adams,1404600,1517368,2015/16
Andrea Bargnani,1362897,1472316,2015/16
Gerald Green,1362897,1472316,2015/16
Solomon Hill,1358880,1467977,2015/16
Aaron Gray,1356146,1465023,2015/16
Sasha Vujacic,1356146,1465023,2015/16
Rodney Hood,1348440,1456699,2015/16
Matthew Dellavedova,1347276,1455441,2015/16
Bobby Portis,1344120,1452032,2015/16
Rondae Hollis-Jefferson,1335480,1442698,2015/16
Alonzo Gee,1320000,1425975,2015/16
Tim Hardaway Jr,1304520,1409253,2015/16
Nikola Jokic,1300000,1404370,2015/16
Shabazz Napier,1294440,1398363,2015/16
Tyus Jones,1282080,1385011,2015/16
Sasha Kaun,1276000,1378443,2015/16
Cartier Martin,1270964,1373003,2015/16
Brandon Rush,1270964,1373003,2015/16
Luc Mbah a Moute,1270964,1373003,2015/16
Reggie Bullock,1252400,1352948,2015/16
Clint Capela,1242720,1342491,2015/16
Jarell Martin,1230840,1329657,2015/16
Andre Roberson,1210800,1308008,2015/16
PJ Hairston,1201440,1297897,2015/16
Boban Marjanovic,1200000,1296341,2015/16
Tyler Hansbrough,1185784,1280984,2015/16
Jeremy Evans,1185784,1280984,2015/16
Rudy Gobert,1175880,1270285,2015/16
Jordan Mickey,1170960,1264970,2015/16
Archie Goodwin,1160160,1253303,2015/16
CJ Wilcox,1159680,1252784,2015/16
Larry Nance Jr,1155600,1248377,2015/16
Chris Copeland,1150000,1242327,2015/16
Damjan Rudez,1149500,1241787,2015/16
RJ Hunter,1148640,1240858,2015/16
Kyle Anderson,1142880,1234635,2015/16
Chris McCullough,1140240,1231783,2015/16
Josh Huestis,1140240,1231783,2015/16
Kevon Looney,1131960,1222839,2015/16
JaKarr Sampson,1103547,1192144,2015/16
Cole Aldrich,1100602,1188963,2015/16
Wesley Johnson,1100602,1188963,2015/16
Luke Babbitt,1100602,1188963,2015/16
Ishmael Smith,1100602,1188963,2015/16
Garrett Temple,1100602,1188963,2015/16
Glenn Robinson III,1100000,1188313,2015/16
Ray McCallum,1076758,1163204,2015/16
Richaun Holmes,1075000,1161306,2015/16
Jared Cunningham,1039074,1122495,2015/16
Jon Leuer,1035000,1118094,2015/16
Donald Sloan,1015421,1096943,2015/16
E'Twaun Moore,1015421,1096943,2015/16
Joey Dorsey,1015421,1096943,2015/16
James Anderson,1015421,1096943,2015/16
Phil Pressey,1014142,1095561,2015/16
Rakeem Christmas,1007026,1087874,2015/16
Joseph Young,1007026,1087874,2015/16
Walter Tavares,1000000,1080284,2015/16
Montrezl Harrell,1000000,1080284,2015/16
Robert Covington,1000000,1080284,2015/16
Tim Frazier,989216,1068634,2015/16
Robert Sacre,981358,1060146,2015/16
John Jenkins,981349,1060136,2015/16
Thomas Robinson,981348,1060135,2015/16
Hassan Whiteside,981348,1060135,2015/16
Quincy Acy,981348,1060135,2015/16
Christapher Johnson,981348,1060135,2015/16
Mike Muscala,947276,1023327,2015/16
Troy Daniels,947276,1023327,2015/16
Justin Holiday,947276,1023327,2015/16
Gal Mekel,947276,1023327,2015/16
Ian Clark,947276,1023327,2015/16
Dewayne Dedmon,947276,1023327,2015/16
Isaiah Canaan,947276,1023327,2015/16
Hollis Thompson,947276,1023327,2015/16
Allen Crabbe,947276,1023327,2015/16
Seth Curry,947276,1023327,2015/16
Jeff Withey,947276,1023327,2015/16
James Ennis,944477,1020303,2015/16
Elton Brand,890693,962202,2015/16
Damien Inglis,855000,923643,2015/16
Markel Brown,845059,912904,2015/16
Cameron Bairstow,845059,912904,2015/16
Dwight Powell,845059,912904,2015/16
Nick Johnson,845059,912904,2015/16
Spencer Dinwiddie,845059,912904,2015/16
James Michael McAdoo,845059,912904,2015/16
Shayne Whittington,845059,912904,2015/16
Tarik Black,845059,912904,2015/16
Jordan Clarkson,845059,912904,2015/16
Russ Smith,845059,912904,2015/16
JaMychal Green,845059,912904,2015/16
Tyler Johnson,845059,912904,2015/16
Johnny O'Bryant,845059,912904,2015/16
Jarnell Stokes,845059,912904,2015/16
Cleanthony Early,845059,912904,2015/16
Langston Galloway,845059,912904,2015/16
Devyn Marble,845059,912904,2015/16
Joe Harris,845059,912904,2015/16
Jerami Grant,845059,912904,2015/16
Eric Moreland,845059,912904,2015/16
Raul Neto,840000,907439,2015/16
Kostas Papanikolaou,800320,864573,2015/16
Pierre Jackson,750000,810213,2015/16
Norman Powell,650000,702185,2015/16
Jimmer Fredette,625167,675357,2015/16
Pat Connaughton,625093,675278,2015/16
Ryan Hollins,615906,665353,2015/16
Darrun Hilliard,600000,648170,2015/16
Lamar Patterson,525093,567249,2015/16
Willie Reed,525093,567249,2015/16
Aaron Harrison,525093,567249,2015/16
Cristiano Felicio,525093,567249,2015/16
Salah Mejri,525093,567249,2015/16
Maurice Ndour,525093,567249,2015/16
Branden Dawson,525093,567249,2015/16
Marcelo Huertas,525093,567249,2015/16
Anthony Brown,525093,567249,2015/16
Michael Frazier,525093,567249,2015/16
Josh Richardson,525093,567249,2015/16
TJ McConnell,525093,567249,2015/16
Cliff Alexander,525093,567249,2015/16
Luis Montero,525093,567249,2015/16
Duje Dukan,525093,567249,2015/16
Jonathon Simmons,525093,567249,2015/16
Treveon Graham,525093,567249,2015/16
Cory Jefferson,362878,392011,2015/16
Elijah Millsap,352936,381271,2015/16
Nazr Mohammed,352749,381069,2015/16
Jarell Eddie,349032,377053,2015/16
Christian Wood,339762,367039,2015/16
Sean Kilpatrick,320594,346332,2015/16
Michael Beasley,306526,331135,2015/16
Jorge Gutierrez,300899,325056,2015/16
Jeff Ayres,251890,272112,2015/16
Lorenzo Brown,222888,240782,2015/16
Andrew Goudelock,200600,216705,2015/16
Scottie Wilbekin,200000,216056,2015/16
Erick Green,199418,215427,2015/16
Greg Smith,197111,212936,2015/16
Jordan McRae,172971,186857,2015/16
Henry Sims,161633,174609,2015/16
Xavier Munford,123548,133467,2015/16
Jordan Hamilton,119461,129051,2015/16
Alan Williams,114284,123459,2015/16
Orlando Johnson,111444,120390,2015/16
Jonathan Holmes,100000,108028,2015/16
Justin Harper,99418,107399,2015/16
Bryce Cotton,99418,107399,2015/16
Alex Stepheson,92662,100100,2015/16
Chuck Hayes,70549,76213,2015/16
Axel Toupane,61775,66734,2015/16
Bryce Dejean-Jones,61775,66734,2015/16
Keith Appling,61775,66734,2015/16
Coty Clarke,61774,66733,2015/16
Briante Weber,61774,66732,2015/16
