Player,Salary,Salary adjusted by inflation,Season
RJ Barrett,8231760,8231760,2020/21
Jakob Poeltl,8101852,8101852,2020/21
De'Aaron Fox,8099627,8099627,2020/21
Luka Doncic,8049360,8049360,2020/21
Louis Williams,8000000,8000000,2020/21
Mason Plumlee,8000000,8000000,2020/21
PJ Tucker,7969537,7969537,2020/21
LaMelo Ball,7839960,7839960,2020/21
Seth Curry,7834449,7834449,2020/21
Derrick Rose,7682926,7682926,2020/21
Cristiano Felicio,7529020,7529020,2020/21
Rajon Rondo,7500000,7500000,2020/21
De'Andre Hunter,7422000,7422000,2020/21
Jonathan Isaac,7362565,7362565,2020/21
Doug McDermott,7333333,7333333,2020/21
Robin Lopez,7300000,7300000,2020/21
Jaren Jackson,7257360,7257360,2020/21
JaMychal Green,7199760,7199760,2020/21
Nemanja Bjelica,7150000,7150000,2020/21
Patrick Williams,7068360,7068360,2020/21
Ivica Zubac,7000000,7000000,2020/21
Darius Miller,7000000,7000000,2020/21
Aron Baynes,7000000,7000000,2020/21
Jabari Parker,6930729,6930729,2020/21
Lauri Markkanen,6731508,6731508,2020/21
Darius Garland,6720720,6720720,2020/21
DJ Augustin,6666667,6666667,2020/21
Trae Young,6571800,6571800,2020/21
Chris Boucher,6500000,6500000,2020/21
Juan Hernangomez,6493000,6493000,2020/21
Joakim Noah,6431666,6431666,2020/21
Isaac Okoro,6400920,6400920,2020/21
Frank Ntilikina,6176578,6176578,2020/21
DeMarre Carroll,6119676,6119676,2020/21
Jarrett Culver,6104280,6104280,2020/21
Alec Burks,6000000,6000000,2020/21
Ishmael Smith,6000000,6000000,2020/21
Mo Bamba,5969040,5969040,2020/21
Onyeka Okongwu,5813640,5813640,2020/21
Justin Holiday,5720400,5720400,2020/21
Dennis Smith,5686677,5686677,2020/21
Avery Bradley,5635000,5635000,2020/21
Timofey Mozgov,5573333,5573333,2020/21
Coby White,5572680,5572680,2020/21
Trey Lyles,5500000,5500000,2020/21
Wendell Carter,5448840,5448840,2020/21
Zach Collins,5406255,5406255,2020/21
Malik Monk,5345687,5345687,2020/21
Killian Hayes,5307120,5307120,2020/21
Luke Kennard,5273826,5273826,2020/21
Ryan Anderson,5214583,5214583,2020/21
Donovan Mitchell,5195501,5195501,2020/21
Rodney McGruder,5192307,5192307,2020/21
Bam Adebayo,5115492,5115492,2020/21
Justin Jackson,5109637,5109637,2020/21
Jaxson Hayes,5105160,5105160,2020/21
Ed Davis,5005350,5005350,2020/21
Mike Scott,5005350,5005350,2020/21
Enes Kanter,5005350,5005350,2020/21
Richaun Holmes,5005350,5005350,2020/21
Daniel Theis,5000000,5000000,2020/21
Luol Deng,5000000,5000000,2020/21
Nerlens Noel,5000000,5000000,2020/21
Collin Sexton,4991880,4991880,2020/21
Pat Connaughton,4938273,4938273,2020/21
Obi Toppin,4862040,4862040,2020/21
Kevon Looney,4821429,4821429,2020/21
Kris Dunn,4767000,4767000,2020/21
Garrett Temple,4767000,4767000,2020/21
Josh Jackson,4767000,4767000,2020/21
Elfrid Payton,4767000,4767000,2020/21
Rui Hachimura,4692840,4692840,2020/21
Denzel Valentine,4642800,4642800,2020/21
Kevin Knox,4588680,4588680,2020/21
DJ Wilson,4548280,4548280,2020/21
Deni Avdija,4469160,4469160,2020/21
Cam Reddish,4458000,4458000,2020/21
TJ Leaf,4431423,4431423,2020/21
Mikal Bridges,4359000,4359000,2020/21
Jalen Smith,4245720,4245720,2020/21
Cameron Johnson,4235160,4235160,2020/21
JaVale McGee,4200000,4200000,2020/21
Reggie Bullock,4200000,4200000,2020/21
Shai Gilgeous-Alexander,4141320,4141320,2020/21
John Collins,4137302,4137302,2020/21
Willie Cauley-Stein,4100000,4100000,2020/21
Devin Vassell,4033440,4033440,2020/21
PJ Washington,4023600,4023600,2020/21
Dorian Finney-Smith,4000000,4000000,2020/21
Patrick McCaw,4000000,4000000,2020/21
Alex Len,3970648,3970648,2020/21
Terrance Ferguson,3944013,3944013,2020/21
Miles Bridges,3934320,3934320,2020/21
Austin Rivers,3929049,3929049,2020/21
Jevon Carter,3925000,3925000,2020/21
Jarrett Allen,3909902,3909902,2020/21
Nicolo Melli,3897436,3897436,2020/21
OG Anunoby,3872215,3872215,2020/21
Gabriel Deck,3870370,3870370,2020/21
Tyrese Haliburton,3831840,3831840,2020/21
Tyler Herro,3822240,3822240,2020/21
Patrick Patterson,3814771,3814771,2020/21
Stanley Johnson,3804150,3804150,2020/21
Jake Layman,3761085,3761085,2020/21
Jerome Robinson,3737520,3737520,2020/21
Danuel House,3717000,3717000,2020/21
Kira Lewis,3640200,3640200,2020/21
Romeo Langford,3631200,3631200,2020/21
Wesley Matthews,3623000,3623000,2020/21
Bobby Portis,3623000,3623000,2020/21
Moe Harkless,3623000,3623000,2020/21
Wayne Ellington,3564753,3564753,2020/21
Kyle Kuzma,3562178,3562178,2020/21
Michael Porter,3550800,3550800,2020/21
Tony Bradley,3542060,3542060,2020/21
Derrick White,3516284,3516284,2020/21
Bismack Biyombo,3500000,3500000,2020/21
Boban Marjanovic,3500000,3500000,2020/21
TJ McConnell,3500000,3500000,2020/21
Luca Vildoza,3500000,3500000,2020/21
Josh Hart,3491159,3491159,2020/21
Aaron Nesmith,3458400,3458400,2020/21
Sekou Doumbouya,3449400,3449400,2020/21
Dewayne Dedmon,3447478,3447478,2020/21
Troy Brown,3372840,3372840,2020/21
Jeff Teague,3372826,3372826,2020/21
Michael Carter-Williams,3300000,3300000,2020/21
James Ennis,3300000,3300000,2020/21
Cole Anthony,3285120,3285120,2020/21
Taj Gibson,3283684,3283684,2020/21
Facundo Campazzo,3200000,3200000,2020/21
Jon Leuer,3169348,3169348,2020/21
Isaiah Stewart,3121080,3121080,2020/21
Chuma Okeke,3121080,3121080,2020/21
Nickeil Alexander-Walker,3113160,3113160,2020/21
DeMarcus Cousins,3051832,3051832,2020/21
Donte DiVincenzo,3044160,3044160,2020/21
Khem Birch,3011499,3011499,2020/21
Ryan Arcidiacono,3000000,3000000,2020/21
Trey Burke,3000000,3000000,2020/21
Aleksej Pokusevski,2964840,2964840,2020/21
Goga Bitadze,2957520,2957520,2020/21
Lonnie Walker,2895720,2895720,2020/21
Ben McLemore,2893630,2893630,2020/21
Andrew Nicholson,2844429,2844429,2020/21
Luka Samanic,2824320,2824320,2020/21
Josh Green,2816760,2816760,2020/21
Kevin Huerter,2761920,2761920,2020/21
Alex Caruso,2750000,2750000,2020/21
Marko Guduric,2750000,2750000,2020/21
Matisse Thybulle,2711280,2711280,2020/21
Saddiq Bey,2689920,2689920,2020/21
Josh Okogie,2651040,2651040,2020/21
Vincent Poirier,2619207,2619207,2020/21
Brandon Clarke,2602920,2602920,2020/21
Precious Achiuwa,2582160,2582160,2020/21
Jeff Green,2564753,2564753,2020/21
Jose Juan Barea,2564753,2564753,2020/21
Marc Gasol,2564753,2564753,2020/21
Jared Dudley,2564753,2564753,2020/21
Udonis Haslem,2564753,2564753,2020/21
Dwight Howard,2564753,2564753,2020/21
Carmelo Anthony,2564753,2564753,2020/21
Grayson Allen,2545320,2545320,2020/21
Grant Williams,2498760,2498760,2020/21
Tyrese Maxey,2478840,2478840,2020/21
Chandler Hutchison,2443440,2443440,2020/21
Mfiondu Kabengele,2432353,2432353,2020/21
Darius Bazley,2399160,2399160,2020/21
Moritz Wagner,2383915,2383915,2020/21
Zeke Nnaji,2379840,2379840,2020/21
Aaron Holiday,2345640,2345640,2020/21
Bryn Forbes,2337145,2337145,2020/21
Reggie Jackson,2331593,2331593,2020/21
Markieff Morris,2331593,2331593,2020/21
E'Twaun Moore,2331593,2331593,2020/21
Kent Bazemore,2320044,2320044,2020/21
Hassan Whiteside,2320044,2320044,2020/21
Ty Jerome,2303040,2303040,2020/21
Mike Muscala,2283034,2283034,2020/21
Anfernee Simons,2252040,2252040,2020/21
Luke Kornet,2250000,2250000,2020/21
Brad Wanamaker,2250000,2250000,2020/21
Monta Ellis,2245400,2245400,2020/21
Nassir Little,2210640,2210640,2020/21
