Team,Season,W/L%,PER_Unit_1,PER_Unit_2,PER_Unit_combined,PER_Unit_1_Rank,PER_Unit_2_Rank,PER_Unit_combined_Rank,DRtg_Unit_1,DRtg_Unit_2,DRtg_Unit_combined,DRtg_Unit_1_Rank,DRtg_Unit_2_Rank,DRtg_Unit_combined_Rank
Portland Trail Blazers,2019/20,0.473,90.3,54.9,145.2,5.0,28.0,20.0,576.0,574.0,1150.0,5.0,4.0,4.0
Phoenix Suns,2019/20,0.466,79.1,73.6,152.7,19.0,7.0,11.0,557.0,556.0,1113.0,11.0,11.0,13.0
Memphis Grizzlies,2019/20,0.466,79.7,71.3,151.0,17.0,11.0,15.0,552.0,550.0,1102.0,13.0,13.0,15.0
Orlando Magic,2019/20,0.452,81.69999999999999,70.8,152.5,14.0,13.0,12.0,550.0,543.0,1093.0,15.0,18.0,20.0
San Antonio Spurs,2019/20,0.451,85.0,72.4,157.4,10.0,9.0,7.0,569.0,565.0,1134.0,6.0,8.0,7.0
Sacramento Kings,2019/20,0.431,70.2,78.7,148.9,28.0,3.0,17.0,568.0,550.0,1118.0,7.0,13.0,12.0
New Orleans Pelicans,2019/20,0.417,76.2,66.3,142.5,24.0,18.0,23.0,562.0,557.0,1119.0,8.0,10.0,11.0
Charlotte Hornets,2019/20,0.354,73.9,57.1,131.0,25.0,27.0,28.0,568.0,566.0,1134.0,7.0,7.0,7.0
Washington Wizards,2019/20,0.347,79.8,72.2,152.0,16.0,10.0,14.0,581.0,575.0,1156.0,2.0,3.0,3.0
Chicago Bulls,2019/20,0.3379999999999999,72.4,65.5,137.9,26.0,20.0,25.0,552.0,547.0,1099.0,13.0,14.0,17.0
New York Knicks,2019/20,0.318,82.8,61.1,143.9,11.0,26.0,21.0,561.0,567.0,1128.0,9.0,6.0,8.0
Detroit Pistons,2019/20,0.303,79.2,73.0,152.2,18.0,8.0,13.0,557.0,571.0,1128.0,11.0,5.0,8.0
Atlanta Hawks,2019/20,0.299,76.5,67.4,143.9,23.0,17.0,21.0,577.0,566.0,1143.0,4.0,7.0,5.0
Minnesota Timberwolves,2019/20,0.297,77.2,66.1,143.3,22.0,19.0,22.0,560.0,565.0,1125.0,10.0,8.0,9.0
Cleveland Cavaliers,2019/20,0.292,70.2,63.5,133.7,28.0,23.0,27.0,581.0,579.0,1160.0,2.0,2.0,2.0
Golden State Warriors,2019/20,0.231,63.6,76.4,140.0,29.0,5.0,24.0,578.0,560.0,1138.0,3.0,9.0,6.0
Milwaukee Bucks,2018/19,0.732,99.1,58.4,157.5,1.0,21.0,4.0,521.0,537.0,1058.0,24.0,19.0,25.0
Toronto Raptors,2018/19,0.7070000000000001,92.7,67.3,160.0,4.0,12.0,1.0,533.0,539.0,1072.0,21.0,18.0,23.0
Golden State Warriors,2018/19,0.695,91.2,66.8,158.0,5.0,13.0,3.0,547.0,556.0,1103.0,15.0,11.0,14.0
Denver Nuggets,2018/19,0.659,90.6,62.4,153.0,7.0,18.0,10.0,545.0,547.0,1092.0,17.0,14.0,18.0
Houston Rockets,2018/19,0.6459999999999999,95.5,52.3,147.8,2.0,27.0,15.0,550.0,563.0,1113.0,14.0,7.0,11.0
Portland Trail Blazers,2018/19,0.6459999999999999,88.89999999999999,67.4,156.3,9.0,11.0,6.0,550.0,555.0,1105.0,14.0,12.0,13.0
Philadelphia 76ers,2018/19,0.622,94.4,57.0,151.4,3.0,24.0,11.0,546.0,559.0,1105.0,16.0,10.0,13.0
Utah Jazz,2018/19,0.61,81.30000000000001,65.3,146.60000000000002,15.0,15.0,17.0,528.0,530.0,1058.0,23.0,21.0,25.0
Boston Celtics,2018/19,0.598,86.9,73.0,159.9,10.0,4.0,2.0,538.0,541.0,1079.0,20.0,16.0,21.0
Oklahoma City Thunder,2018/19,0.598,89.4,48.9,138.3,8.0,28.0,26.0,532.0,540.0,1072.0,22.0,17.0,23.0
Indiana Pacers,2018/19,0.585,78.0,71.8,149.8,19.0,6.0,13.0,532.0,539.0,1071.0,22.0,18.0,24.0
San Antonio Spurs,2018/19,0.585,85.2,69.3,154.5,11.0,7.0,9.0,558.0,555.0,1113.0,9.0,12.0,11.0
Los Angeles Clippers,2018/19,0.585,90.8,57.2,148.0,6.0,23.0,14.0,558.0,564.0,1122.0,9.0,6.0,9.0
